Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using FROBENIUS NORMALIZATION

============================================================
Training MLP Wide (v17 - Frobenius normalized)
Parameters: 5,288,352
Batch size: 64
============================================================

  chunk 33 final batch loss = 0.273837
  chunk 34 final batch loss = 0.509433
  chunk 35 final batch loss = 0.811783
  chunk 36 final batch loss = 0.722415
  chunk 37 final batch loss = 0.562321
  chunk 38 final batch loss = 0.274612
  chunk 39 final batch loss = 0.823284
  chunk 40 final batch loss = 0.315084
  chunk 41 final batch loss = 0.701717
  chunk 42 final batch loss = 0.292581
  chunk 43 final batch loss = 0.809408
  chunk 44 final batch loss = 0.391019
  chunk 45 final batch loss = 0.788777
  chunk 46 final batch loss = 0.313534
  chunk 47 final batch loss = 0.284512
  chunk 48 final batch loss = 0.371633
  chunk 49 final batch loss = 0.807410
  chunk 50 final batch loss = 0.701107
  chunk 51 final batch loss = 0.375932
  chunk 52 final batch loss = 0.284650
  chunk 53 final batch loss = 0.566316
  chunk 54 final batch loss = 0.384259
  chunk 55 final batch loss = 0.297581
  chunk 56 final batch loss = 0.767239
  chunk 57 final batch loss = 0.782253
  chunk 58 final batch loss = 0.674210
  chunk 59 final batch loss = 0.345405
  chunk 60 final batch loss = 0.707478
  chunk 61 final batch loss = 0.346710
  chunk 62 final batch loss = 0.337276
  chunk 63 final batch loss = 0.795848
  chunk 64 final batch loss = 0.804181
  chunk 65 final batch loss = 0.403976
  chunk 66 final batch loss = 0.650339
  chunk 67 final batch loss = 0.820663
  chunk 68 final batch loss = 0.497699
  chunk 69 final batch loss = 0.714312
  chunk 70 final batch loss = 0.281538
  chunk 71 final batch loss = 0.753305
  chunk 72 final batch loss = 0.762015
  chunk 73 final batch loss = 0.513692
  chunk 74 final batch loss = 0.572619
  chunk 75 final batch loss = 0.292645
  chunk 76 final batch loss = 0.259417
  chunk 77 final batch loss = 0.480418
  chunk 78 final batch loss = 0.801466
  chunk 79 final batch loss = 0.697166
Validation loss: 0.509165
Saved BEST checkpoint
Epoch 7
  chunk 0 final batch loss = 0.808858
  chunk 1 final batch loss = 0.799204
  chunk 2 final batch loss = 0.525470
  chunk 3 final batch loss = 0.359505
  chunk 4 final batch loss = 0.770974
  chunk 5 final batch loss = 0.597563
  chunk 6 final batch loss = 0.278643
  chunk 7 final batch loss = 0.473007
  chunk 8 final batch loss = 0.419759
  chunk 9 final batch loss = 0.680442
  chunk 10 final batch loss = 0.496300
  chunk 11 final batch loss = 0.824556
  chunk 12 final batch loss = 0.763967
  chunk 13 final batch loss = 0.718585
  chunk 14 final batch loss = 0.502973
  chunk 15 final batch loss = 0.336495
  chunk 16 final batch loss = 0.341138
  chunk 17 final batch loss = 0.456005
  chunk 18 final batch loss = 0.645065
  chunk 19 final batch loss = 0.288434
  chunk 20 final batch loss = 0.817054
  chunk 21 final batch loss = 0.713853
  chunk 22 final batch loss = 0.801405
  chunk 23 final batch loss = 0.701398
  chunk 24 final batch loss = 0.799106
  chunk 25 final batch loss = 0.367744
  chunk 26 final batch loss = 0.807571
  chunk 27 final batch loss = 0.267807
  chunk 28 final batch loss = 0.284700
  chunk 29 final batch loss = 0.817481
  chunk 30 final batch loss = 0.348614
  chunk 31 final batch loss = 0.341308
  chunk 32 final batch loss = 0.775111
  chunk 33 final batch loss = 0.300787
  chunk 34 final batch loss = 0.413872
  chunk 35 final batch loss = 0.812786
  chunk 36 final batch loss = 0.742403
  chunk 37 final batch loss = 0.583542
  chunk 38 final batch loss = 0.292228
  chunk 39 final batch loss = 0.825486
  chunk 40 final batch loss = 0.301900
  chunk 41 final batch loss = 0.719159
  chunk 42 final batch loss = 0.296592
  chunk 43 final batch loss = 0.811383
  chunk 44 final batch loss = 0.426026
  chunk 45 final batch loss = 0.771245
  chunk 46 final batch loss = 0.273214
  chunk 47 final batch loss = 0.281854
  chunk 48 final batch loss = 0.306108
  chunk 49 final batch loss = 0.813996
  chunk 50 final batch loss = 0.693026
  chunk 51 final batch loss = 0.331376
  chunk 52 final batch loss = 0.273208
  chunk 53 final batch loss = 0.575711
  chunk 54 final batch loss = 0.395859
  chunk 55 final batch loss = 0.285213
  chunk 56 final batch loss = 0.765481
  chunk 57 final batch loss = 0.784136
  chunk 58 final batch loss = 0.694348
  chunk 59 final batch loss = 0.295540
  chunk 60 final batch loss = 0.711237
  chunk 61 final batch loss = 0.318380
  chunk 62 final batch loss = 0.335607
  chunk 63 final batch loss = 0.786692
  chunk 64 final batch loss = 0.795747
  chunk 65 final batch loss = 0.384197
  chunk 66 final batch loss = 0.697945
  chunk 67 final batch loss = 0.805531
  chunk 68 final batch loss = 0.492489
  chunk 69 final batch loss = 0.718711
  chunk 70 final batch loss = 0.295047
  chunk 71 final batch loss = 0.725155
  chunk 72 final batch loss = 0.751538
  chunk 73 final batch loss = 0.495056
  chunk 74 final batch loss = 0.515744
  chunk 75 final batch loss = 0.273601
  chunk 76 final batch loss = 0.252370
  chunk 77 final batch loss = 0.488642
  chunk 78 final batch loss = 0.806449
  chunk 79 final batch loss = 0.678102
Validation loss: 0.503706
Saved BEST checkpoint
Epoch 8
  chunk 0 final batch loss = 0.811404
  chunk 1 final batch loss = 0.804335
  chunk 2 final batch loss = 0.479605
  chunk 3 final batch loss = 0.334270
  chunk 4 final batch loss = 0.789644
  chunk 5 final batch loss = 0.593858
  chunk 6 final batch loss = 0.266387
  chunk 7 final batch loss = 0.485722
  chunk 8 final batch loss = 0.386946
  chunk 9 final batch loss = 0.669950
  chunk 10 final batch loss = 0.476789
  chunk 11 final batch loss = 0.824486
  chunk 12 final batch loss = 0.751567
  chunk 13 final batch loss = 0.748014
  chunk 14 final batch loss = 0.470001
  chunk 15 final batch loss = 0.364836
  chunk 16 final batch loss = 0.352478
  chunk 17 final batch loss = 0.482365
  chunk 18 final batch loss = 0.653332
  chunk 19 final batch loss = 0.310191
  chunk 20 final batch loss = 0.816452
  chunk 21 final batch loss = 0.702768
  chunk 22 final batch loss = 0.780779
  chunk 23 final batch loss = 0.682387
  chunk 24 final batch loss = 0.808112
  chunk 25 final batch loss = 0.354990
  chunk 26 final batch loss = 0.808192
  chunk 27 final batch loss = 0.254490
  chunk 28 final batch loss = 0.293253
  chunk 29 final batch loss = 0.811390
  chunk 30 final batch loss = 0.317001
  chunk 31 final batch loss = 0.312530
  chunk 32 final batch loss = 0.753843
  chunk 33 final batch loss = 0.304654
  chunk 34 final batch loss = 0.443561
  chunk 35 final batch loss = 0.807773
  chunk 36 final batch loss = 0.763180
  chunk 37 final batch loss = 0.573396
  chunk 38 final batch loss = 0.253438
  chunk 39 final batch loss = 0.817292
  chunk 40 final batch loss = 0.289473
  chunk 41 final batch loss = 0.717374
  chunk 42 final batch loss = 0.290292
  chunk 43 final batch loss = 0.804815
  chunk 44 final batch loss = 0.407946
  chunk 45 final batch loss = 0.782824
  chunk 46 final batch loss = 0.295713
  chunk 47 final batch loss = 0.304002
  chunk 48 final batch loss = 0.338126
  chunk 49 final batch loss = 0.812333
  chunk 50 final batch loss = 0.746915
  chunk 51 final batch loss = 0.332422
  chunk 52 final batch loss = 0.266501
  chunk 53 final batch loss = 0.566598
  chunk 54 final batch loss = 0.372849
  chunk 55 final batch loss = 0.306838
  chunk 56 final batch loss = 0.773632
  chunk 57 final batch loss = 0.792526
  chunk 58 final batch loss = 0.693216
  chunk 59 final batch loss = 0.313386
  chunk 60 final batch loss = 0.704894
  chunk 61 final batch loss = 0.341431
  chunk 62 final batch loss = 0.319238
  chunk 63 final batch loss = 0.779708
  chunk 64 final batch loss = 0.809408
  chunk 65 final batch loss = 0.378859
  chunk 66 final batch loss = 0.694283
  chunk 67 final batch loss = 0.810700
  chunk 68 final batch loss = 0.485209
  chunk 69 final batch loss = 0.696186
  chunk 70 final batch loss = 0.262663
  chunk 71 final batch loss = 0.725596
  chunk 72 final batch loss = 0.711050
  chunk 73 final batch loss = 0.432982
  chunk 74 final batch loss = 0.555111
