Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using FROBENIUS NORMALIZATION

============================================================
Training MLP Deep (v17 - Frobenius normalized)
Parameters: 2,152,800
Batch size: 64
============================================================

  chunk 0 final batch loss = 0.798985
  chunk 1 final batch loss = 0.807537
  chunk 2 final batch loss = 0.541201
  chunk 3 final batch loss = 0.328615
  chunk 4 final batch loss = 0.759701
  chunk 5 final batch loss = 0.594727
  chunk 6 final batch loss = 0.256440
  chunk 7 final batch loss = 0.423619
  chunk 8 final batch loss = 0.401867
  chunk 9 final batch loss = 0.666733
  chunk 10 final batch loss = 0.459270
  chunk 11 final batch loss = 0.827018
  chunk 12 final batch loss = 0.751981
  chunk 13 final batch loss = 0.749462
  chunk 14 final batch loss = 0.466579
  chunk 15 final batch loss = 0.342858
  chunk 16 final batch loss = 0.323978
  chunk 17 final batch loss = 0.470895
  chunk 18 final batch loss = 0.674173
  chunk 19 final batch loss = 0.289774
  chunk 20 final batch loss = 0.800938
  chunk 21 final batch loss = 0.717096
  chunk 22 final batch loss = 0.805771
  chunk 23 final batch loss = 0.698881
  chunk 24 final batch loss = 0.771225
  chunk 25 final batch loss = 0.351903
  chunk 26 final batch loss = 0.796637
  chunk 27 final batch loss = 0.236647
  chunk 28 final batch loss = 0.295045
  chunk 29 final batch loss = 0.798984
  chunk 30 final batch loss = 0.348376
  chunk 31 final batch loss = 0.342071
  chunk 32 final batch loss = 0.753328
  chunk 33 final batch loss = 0.306190
  chunk 34 final batch loss = 0.442863
  chunk 35 final batch loss = 0.805110
  chunk 36 final batch loss = 0.689595
  chunk 37 final batch loss = 0.550263
  chunk 38 final batch loss = 0.278186
  chunk 39 final batch loss = 0.827738
  chunk 40 final batch loss = 0.284236
  chunk 41 final batch loss = 0.654897
  chunk 42 final batch loss = 0.316480
  chunk 43 final batch loss = 0.804346
  chunk 44 final batch loss = 0.371864
  chunk 45 final batch loss = 0.773039
  chunk 46 final batch loss = 0.285897
  chunk 47 final batch loss = 0.277973
  chunk 48 final batch loss = 0.341471
  chunk 49 final batch loss = 0.808942
  chunk 50 final batch loss = 0.673987
  chunk 51 final batch loss = 0.339784
  chunk 52 final batch loss = 0.272201
  chunk 53 final batch loss = 0.532035
  chunk 54 final batch loss = 0.384457
